Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Priefer, R.","1",,,,,,,,,"Self-help Devices","2","Middle Technical University","1",,,,,,,,
,,,,"Raethjen, J.","1",,,,,,,,,"Side Effect","2","Universidad del Azuay","1",,,,,,,,
,,,,"Ramirez-Zamora, A.","1",,,,,,,,,"Surgical Technique","2","Shohadaye Tajrish Educational Hospital","1",,,,,,,,
,,,,"Richardson, R.M.","1",,,,,,,,,"Thalamus Nucleus","2","SBUMS School of Medicine","1",,,,,,,,
,,,,"Riviere, C.N.","1",,,,,,,,,"Therapy Effect","2","HCMC University of Technology and Engineering HCM-UTE","1",,,,,,,,
,,,,"Rocon, E.","1",,,,,,,,,"Treatment Response","2","Focal Meditech BV","1",,,,,,,,
,,,,"Roque, D.","1",,,,,,,,,"Tremors","2","Department of Neurosciences","1",,,,,,,,
,,,,"Saleh, S.K.","1",,,,,,,,,"Voluntary Movement","2","UF Health","1",,,,,,,,
,,,,"Sang, H.","1",,,,,,,,,"Wearable Technology","2","Huzhou Central Hospital","1",,,,,,,,
,,,,"Sankar, K.","1",,,,,,,,,"Weight","2","Johns Hopkins Department of Biomedical Engineering","1",,,,,,,,
,,,,"Sarmento, F.P.","1",,,,,,,,,"3d Printers","1","Robert R. McCormick School of Engineering and Applied Science","1",,,,,,,,
,,,,"Schuurman, R.","1",,,,,,,,,"4d Printing","1","Cullen College of Engineering","1",,,,,,,,
,,,,"Schwingenschuh, P.","1",,,,,,,,,"Accessibility","1","Neurophysiology Research Center","1",,,,,,,,
,,,,"Sharma, N.","1",,,,,,,,,"Activities Of Daily Living","1","Tiangong University","1",,,,,,,,
